transaction_id,user_id,amount,category,timestamp,location,device_type,is_fraud
1,101,120.5,retail,2025-01-01 10:15:00,New York,mobile,0
2,102,2500.0,electronics,2025-01-01 10:17:00,San Francisco,laptop,0
3,103,75.2,food,2025-01-01 10:20:00,Chicago,mobile,0
4,104,15000.0,transfer,2025-01-01 10:25:00,New York,desktop,1
5,105,60.0,food,2025-01-01 10:30:00,Boston,mobile,0
6,101,5000.0,transfer,2025-01-01 10:32:00,New York,laptop,1
7,106,300.0,retail,2025-01-01 10:40:00,Seattle,mobile,0
8,107,450.75,travel,2025-01-01 10:50:00,Miami,tablet,0
9,108,9999.99,electronics,2025-01-01 11:00:00,Los Angeles,laptop,1
10,109,35.0,food,2025-01-01 11:05:00,Chicago,mobile,0
11,110,200.0,retail,2025-01-01 11:10:00,New York,desktop,0
12,111,7000.0,transfer,2025-01-01 11:15:00,Houston,laptop,1
13,112,85.0,food,2025-01-01 11:20:00,Phoenix,mobile,0
14,113,150.0,retail,2025-01-01 11:25:00,San Diego,tablet,0
15,114,12000.0,transfer,2025-01-01 11:30:00,Dallas,desktop,1
16,115,65.0,food,2025-01-01 11:35:00,San Jose,mobile,0
17,116,220.0,retail,2025-01-01 11:40:00,Austin,laptop,0
18,117,1800.0,travel,2025-01-01 11:45:00,Orlando,tablet,0
19,118,25000.0,transfer,2025-01-01 11:50:00,New York,desktop,1
20,119,45.0,food,2025-01-01 11:55:00,Chicago,mobile,0
